species,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,7.298521317691866,53.2684134248026,16.20606087131513,18.07043770820012,52.456566,2751.6914,-10.519398,-13.437668,21.126460365030482,446.32732755520385,129.19921875,123.31436820652173,117.21640364894677,13739.68528439282,10723.53515625,10719.121518342392,0.052993666,0.0028083285,0.028296934,0.045791786,154.3479569546268,23823.291816067325,3498.1278552337817,3457.660323543098,0.28153124,0.079259835,0.42192972,0.4727584,0.033339918,0.0011115501,0.06694928,0.0661999
Aslan,17.14029537580066,293.7897255696936,17.847771058525637,24.056256300950604,65.77723,4326.644,-0.68244654,0.28048664,11.09482106784366,123.09505452746751,43.06640625,46.02194393382353,285.1174115273386,81291.93835604975,4758.837890625,4777.837775735294,0.00011601303,1.3459023e-08,1.6963004e-07,2.1952981e-05,104.81442555595656,10986.063804625159,962.4744563246303,972.2419309445143,0.32465202,0.10539894,0.19631177,0.35192442,0.06351958,0.004034737,0.19194224,0.19314177
Aslan,18.053242122068493,325.9195511180281,15.715332807584563,22.646804065645085,64.33696,4139.2446,-7.5913844,-4.070435,30.33719692592844,920.3455173225618,75.3662109375,63.19527004076087,574.5876310029097,330150.94570153597,4791.1376953125,4875.398055366848,0.0006108583,3.7314788e-07,3.81243e-07,0.00010574658,123.46835388227127,15244.434410397773,1041.9992562191158,1073.745646599021,0.27323347,0.07465653,0.47935054,0.5167164,0.061270658,0.0037540935,0.17474727,0.15658697
Aslan,17.939844924100274,321.8380359007664,17.280808383540204,24.132342691340018,78.4355,6152.128,-0.48708826,-5.978462,0.0,0.0,0.0,0.0,423.7177184831416,179536.70495655885,4791.1376953125,4629.156206238945,6.4142896e-06,4.1143113e-11,5.6368174e-07,9.488024e-07,198.55592013094716,39424.453419047066,1092.021113231751,1050.9594598691317,0.27708355,0.0767753,0.39801586,0.4573373,0.031130739,0.00096912286,0.049424086,0.064589664
Aslan,16.95804325197253,287.5752309357711,16.28817442456851,22.175661565870353,70.10534,4914.7583,-7.9227896,-9.657912,31.351219378793655,982.8989565372467,86.1328125,88.88427734375,433.4550661461811,187883.29436779022,4387.39013671875,4314.296875,0.00010545642,1.1121056e-08,9.96047e-07,1.4578313e-05,96.61062262521304,9333.612404031326,909.2281407166936,917.0237902227386,0.26833874,0.07200568,0.4370747,0.49199167,0.11648208,0.013568075,0.038437106,0.10126458
Aslan,17.27014596770594,298.25794174586974,16.156325081577016,23.498289770542154,89.03381,7927.0205,0.54419684,-10.217637,0.0,0.0,0.0,0.0,386.77266802747744,149593.09673309326,4403.5400390625,4417.8955078125,2.706075e-06,7.322843e-12,3.8321315e-07,7.0611827e-07,188.69610162832947,35606.21876972885,960.69658360449,987.402234197594,0.28418845,0.08076307,0.4586048,0.5158172,0.037068464,0.0013740709,0.034549084,0.050729603
Aslan,3.91357586931937,15.316076084918862,14.863114288356478,15.519387801565314,34.84935,1214.4772,-0.800112,2.2276459,15.282480394522718,233.55420700897125,53.8330078125,52.17660757211539,174.82794383455263,30564.809945417488,10368.2373046875,10387.389432466947,0.0062259445,3.8762388e-05,0.010678003,0.0118140215,248.76777557576813,61885.40616491573,2458.1697914431347,2529.1828991465322,0.27680504,0.076621026,0.4080136,0.4665091,0.10182714,0.010368766,0.16839331,0.1944937
Aslan,16.93311862862614,286.7305064911256,16.637998833313382,23.76575020916905,93.28381,8701.87,-0.20237055,-11.218879,0.0,0.0,0.0,0.0,548.0406009704367,300348.50031203736,4026.708984375,3996.7564008812205,1.5625556e-05,2.44158e-10,2.762576e-07,1.5093202e-06,151.29575909038107,22890.406718734626,763.5163795391387,814.6600489467736,0.30436546,0.092638336,0.4208699,0.48648882,0.02926449,0.00085641036,0.033733796,0.047071062
Aslan,15.78266445338044,249.0924972479985,18.63883856760449,25.357528077557525,85.22652,7263.5586,-2.3121595,-10.151422,0.0,0.0,0.0,0.0,522.6382622505026,273150.7531682252,3886.7431640625,3810.637538277324,3.3796205e-06,1.1421835e-11,1.6282162e-07,3.6839697e-07,108.18263295215499,11703.48207246069,729.714477689964,727.4357602444597,0.3258881,0.10620305,0.32432842,0.4080007,0.057310138,0.0032844518,0.04565946,0.077629946
Aslan,16.418027064743143,269.5516126986384,18.705919873533077,25.550919796873362,81.74942,6682.9673,-2.594542,-7.9734135,0.0,0.0,0.0,0.0,458.7383502204522,210440.8739629823,3951.3427734375,3867.135951246334,2.1931344e-05,4.8098386e-10,2.5479702e-07,1.6284346e-06,90.15640140370962,8128.176714066814,732.431670229762,729.4970760353077,0.29937565,0.08962578,0.32916775,0.3949533,0.039074868,0.0015268454,0.062092487,0.07226507
Aslan,16.103754891847952,259.33092161671686,17.65804635475717,23.504572523786305,63.830025,4074.2722,0.21949449,1.8968173,9.530769884979474,90.83557460043164,0.0,3.7882486979166665,530.3436117494181,281264.34652341745,4155.908203125,4254.203287760417,0.00023725294,5.628896e-08,7.418612e-08,3.6394704e-05,200.77792860976666,40311.77661682856,737.4107594301752,800.5544070329847,0.31765333,0.10090363,0.18394947,0.3346089,0.12677439,0.016071744,0.28014445,0.26301283
