species,spectral_c_std,spectral_c_var,spectral_c_median,spectral_c_mean,hnr_std,zcr_std,zcr_var,zcr_median,zcr_mean,pitch_mag_std,pitch_mag_var,pitch_mag_mean,pitch_freq_std,pitch_freq_var,pitch_freq_mean,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,545.0213576810139,297048.2803284557,2605.6061905952497,2740.9395355855195,0.06896927,0.03579614225661758,0.0012813638004560027,0.0869140625,0.09758706034919028,2.5203865,6.3523483,0.2828154,399.2987,159439.45,63.65684,18.835922921064487,354.7919922882825,15.001967997997617,21.496462298535114,64.24854,4127.8755,-6.2123394,-10.328567,71.26793335372777,5079.118324511383,64.599609375,74.88672665738866,407.2295234329504,165835.88475542786,9517.67578125,9511.573254048582,6.5247805e-05,4.2572763e-09,1.0315387e-06,9.680945e-06,253.20670059468893,64113.63322604844,2110.2944864169604,2144.1906611079867,0.28775936,0.082805455,0.39275578,0.45265633,0.08942279,0.007996436,0.07380688,0.09958389
Aslan,399.7098077011837,159767.93037251726,1769.6442521227357,1933.4228351369666,0.14257589,0.018456740761302475,0.0003406512795299243,0.05322265625,0.060910247093023256,4.6039786,21.196617,0.495417,308.46457,95150.4,44.32443,17.79968760123364,316.8288787015106,14.558048547171033,20.228231120377302,61.12316,3736.041,-7.4960604,-6.129064,38.11794043053876,1452.9773826661014,150.732421875,140.21620639534885,1020.2721338324915,1040955.2270751053,8957.8125,8736.471202761628,0.000117493575,1.38047405e-08,2.820806e-07,3.2267573e-05,370.7514255272172,137456.61953046368,1815.7406564267544,1855.0252846405888,0.27040708,0.07311998,0.39948237,0.47214186,0.14468063,0.020932484,0.16415124,0.19556081
Aslan,545.0213576810139,297048.2803284557,2605.6061905952497,2740.9395355855195,0.06896927,0.03579614225661758,0.0012813638004560027,0.0869140625,0.09758706034919028,2.5203865,6.3523483,0.2828154,399.2987,159439.45,63.65684,18.835922921064487,354.7919922882825,15.001967997997617,21.496462298535114,64.24854,4127.8755,-6.2123394,-10.328567,71.26793335372777,5079.118324511383,64.599609375,74.88672665738866,407.2295234329504,165835.88475542786,9517.67578125,9511.573254048582,6.5247805e-05,4.2572763e-09,1.0315387e-06,9.680945e-06,253.20670059468893,64113.63322604844,2110.2944864169604,2144.1906611079867,0.28775936,0.082805455,0.39275578,0.45265633,0.08942279,0.007996436,0.07380688,0.09958389
Aslan,300.07075247585647,90042.45649142671,2469.087927058644,2495.870378378304,0.09519657,0.021408311195791306,0.00045831578825584335,0.077392578125,0.07612879136029412,3.9077632,15.270614,0.33978707,255.51936,65290.145,30.920506,19.4193907930466,377.112738773063,14.781726932222824,21.066100704936503,64.02484,4099.18,-4.7000213,-6.466873,81.20706880803849,6594.588024393496,21.533203125,69.03291590073529,458.2002180644623,209947.43983432083,9840.673828125,9644.97501148897,0.00016736708,2.8011737e-08,1.881291e-06,4.4293916e-05,401.7534352581911,161405.82274175753,2447.967144535388,2391.252020338624,0.27819532,0.077392645,0.40732664,0.46217975,0.14616595,0.021364484,0.085749954,0.15591224
Aslan,625.9181188470733,391773.4915010589,1703.3443278690472,1882.9262485534305,0.122594856,0.013116595834417658,0.00017204508628346264,0.03125,0.03244544719827586,3.9375238,15.504093,0.26765954,135.53374,18369.393,12.506786,4.411595695899832,19.462176584081927,15.529179572241961,15.663773086564657,60.622566,3675.0957,-8.93124,-9.408961,54.590683511024096,2980.1427262007983,0.0,28.587183459051722,2980.5903387815765,8883918.767638072,14868.6767578125,15208.752862338362,0.0015956358,2.5460536e-06,0.00062306476,0.0012777246,795.4685885229105,632770.2753266316,2735.361525187763,2893.41549845351,0.29026332,0.084252805,0.3918485,0.45503935,0.11279832,0.01272346,0.1395179,0.1670971
Aslan,1032.0487571316562,1065124.6370969964,2102.0682702994277,2369.3733831564973,0.19866405,0.05760582333418798,0.003318430882009677,0.060791015625,0.07725232712765957,5.406634,29.231691,0.6999235,319.5073,102084.914,48.61961,10.70300550617942,114.55432686530696,14.62849213414837,17.46261148158106,50.687206,2569.1929,-8.988232,-6.397507,47.69472238511115,2274.7865433928223,193.798828125,176.61808095079786,1903.7459388559819,3624248.5997106438,13684.3505859375,14525.061814328457,0.02194005,0.00048136583,0.00078697497,0.0054254252,836.8877808965639,700381.1578139751,2337.780278512236,2603.6408770045578,0.3001892,0.09011355,0.34052634,0.41663554,0.09405076,0.008845544,0.28158283,0.26551446
Aslan,212.51318589658243,45161.854179915405,1304.0516999667511,1270.8096506190154,0.064595,0.01397299500558535,0.00019524458942611316,0.03125,0.02888305306085044,1.5692118,2.4624257,0.09172578,114.45244,13099.36,9.431259,16.74453963510883,280.37960759173046,18.781960163477144,25.01036997351636,78.21129,6117.006,-8.205771,-14.052857,0.0,0.0,0.0,0.0,917.4767004409044,841763.4958519292,7902.685546875,7734.271902492668,2.1931344e-05,4.8098386e-10,2.5479702e-07,1.6284346e-06,180.31280280741925,32512.706856267258,1464.863340459524,1458.9941520706154,0.30659682,0.094001606,0.3236819,0.39101234,0.039074868,0.0015268454,0.062092487,0.07226507
Aslan,565.6972910034409,320013.42504863173,2363.191078091656,2429.169805570993,0.1573989,0.017603947306947598,0.0003098989607857876,0.05712890625,0.0582275390625,5.3059134,28.152716,0.48014703,282.1388,79602.3,34.196674,4.974908840077128,24.74971796707755,14.955057344065189,14.689798850610716,47.983795,2302.4446,-2.7796001,-0.97583777,32.76127180400845,1073.3009302161192,0.0,22.150958952356557,1749.2963366952608,3060037.6735754595,17980.224609375,18025.938540599385,0.005076545,2.5771307e-05,0.0024291514,0.0040201303,690.3833788830433,476629.20983796765,3081.8778896689564,3308.7485407798963,0.29140723,0.08491818,0.38949138,0.4417322,0.15507744,0.024049012,0.19638589,0.23737282
Aslan,483.06848781933604,233355.16392406003,1572.352114097389,1749.532390587613,0.21063788,0.05083269810013718,0.00258396319613969,0.05126953125,0.06277743252840909,4.784165,22.888233,0.296489,156.06117,24355.088,15.609465,17.747225387091174,314.96400894021343,18.017321865782307,24.138214517267343,64.982475,4222.7217,-9.056145,-15.310878,183.66446411551033,33732.635378837585,366.064453125,344.53125,994.0011510882297,988038.2883647255,8494.8486328125,8545.745294744318,0.00021364758,4.564529e-08,1.01578216e-07,3.34489e-05,538.8103916396777,290316.63813890296,1469.6803905540835,1639.4264897523026,0.31583023,0.09974874,0.17722315,0.30738696,0.120567136,0.014536435,0.19558331,0.20378213
Aslan,456.30914089450783,208218.03206388382,2591.727991020124,2675.6264363182468,0.08395489,0.028623263592271384,0.0008192912186726486,0.08935546875,0.0947265625,3.342603,11.172995,0.38169193,399.6313,159705.17,65.146835,19.079607082831856,364.03140643524756,14.918916449138443,21.52154140373051,65.006966,4225.9053,-6.577282,-10.09573,80.1342883265198,6421.504165597807,64.599609375,85.06681234529702,431.27894838634904,186001.53132123512,9474.609375,9445.187770730197,0.00044700628,1.9981462e-07,9.3710474e-07,5.9946677e-05,258.56077608913034,66853.6749318134,2056.915207677717,2069.507145679568,0.28690156,0.0823125,0.4017774,0.4547333,0.12180422,0.0148362685,0.09230294,0.13050656
