species,spectral_c_std,spectral_c_var,spectral_c_median,spectral_c_mean,hnr_std,zcr_std,zcr_var,zcr_median,zcr_mean,pitch_mag_std,pitch_mag_var,pitch_mag_mean,pitch_freq_std,pitch_freq_var,pitch_freq_mean,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,399.7098077011837,159767.93037251726,1769.6442521227357,1933.4228351369663,0.14257589,0.0184567407613024,0.0003406512795299,0.05322265625,0.0609102470930232,2.5364406,21.196617,0.26765954,308.46457,95150.4,44.32443,17.79968760123364,316.8288787015106,14.558048547171031,20.228231120377306,61.12316,3736.041,-6.2123394,-6.129064,38.11794043053876,1452.9773826661014,150.732421875,140.21620639534885,1020.2721338324916,1040955.2270751052,8957.8125,8736.471202761628,0.000117493575,1.38047405e-08,2.820806e-07,3.2267573e-05,370.7514255272172,137456.61953046368,1815.7406564267544,1855.0252846405888,0.29026332,0.084252805,0.39948237,0.45813936,0.06351958,0.020932484,0.16415124,0.19556081
Aslan,356.2687207197076,126927.40136325698,1769.6442521227357,1882.9262485534305,0.07470708,0.0179359933840606,0.000321699858673,0.0419921875,0.0413608743686868,1.8552068,3.4417922,0.09539666,169.31337,28667.018,16.341633,15.655927707811635,245.10807239222416,18.808094018715067,24.43749011532931,84.627,7161.7295,-5.699362,-14.3651495,0.0,0.0,0.0,0.0,1045.2765245010053,1092603.0126729007,9065.478515625,8875.95732717803,3.3796205e-06,1.1421835e-11,1.6282162e-07,3.6839697e-07,216.36526590431,46813.92828984276,1921.39316720898,1944.4838618890285,0.29026332,0.084252805,0.36030972,0.43016446,0.057310138,0.0032844518,0.04565946,0.077629946
Aslan,958.0977363467964,917951.2723928554,2319.6200675785494,2791.2010731729574,0.13303062,0.024720347729304,0.0006110955918577,0.0517578125,0.0615621899801587,2.5364406,6.4335313,0.26765954,225.5485,50872.12,26.46559,11.704634033080152,305.2683732602067,15.148465280032646,18.331065341059787,64.982475,4222.7217,-6.2123394,-7.57843,36.29490143250312,1317.3198699951172,150.732421875,150.390625,917.4767004409044,841763.4958519292,16989.697265625,16699.169921875,0.011344793,0.00012870433,0.0016929285,0.006748385,315.84634249891144,99758.91206993967,3171.799336017013,3534.8319191650976,0.29186788,0.085186854,0.4017774,0.45813936,0.06351958,0.004034737,0.1769846,0.114908665
Aslan,483.068487819336,233355.16392406003,1572.352114097389,1749.532390587613,0.08334833,0.0508326981001371,0.0025839631961396,0.05126953125,0.062777432528409,2.5364406,22.888233,0.296489,169.31337,28667.018,15.609465,17.747225387091174,314.96400894021343,18.017321865782307,24.138214517267343,64.982475,4222.7217,-6.2123394,-15.310878,183.66446411551036,33732.635378837585,366.064453125,344.53125,994.0011510882296,988038.2883647257,8494.8486328125,8545.745294744318,0.00021364758,4.564529e-08,1.01578216e-07,3.34489e-05,538.8103916396777,290316.63813890296,1921.39316720898,1639.4264897523026,0.31583023,0.09974874,0.17722315,0.30738696,0.120567136,0.014536435,0.19558331,0.20378213
Aslan,704.0036781729517,495621.178881045,1769.6442521227357,1882.9262485534305,0.008660822,0.024760811509501,0.000613097786609,0.0419921875,0.0413608743686868,0.9713331,0.94348794,0.051572014,169.31337,28667.018,16.341633,17.787958415281043,316.41146458376767,16.04253769706339,22.775423452732337,88.86259,7896.559,-0.9467839,-13.259433,0.0,0.0,0.0,0.0,773.5453360549549,598372.386932373,8807.080078125,8835.791015625,2.706075e-06,7.322843e-12,3.8321315e-07,7.0611827e-07,377.39220325665895,142424.8750789154,1921.39316720898,1974.804468395188,0.28505522,0.08125649,0.4017774,0.45813936,0.037068464,0.0013740709,0.034549084,0.050729603
Aslan,227.1871643258692,51614.0076344295,1596.4708808854336,1660.7990402915814,0.08334833,0.0219428012166127,6.834189280414985e-05,0.037109375,0.0385837928921568,4.0238867,16.191664,0.26765954,169.31337,28667.018,16.341633,18.30019262592003,334.8970501457779,16.005156723850014,22.584143710945803,64.26292,4129.722,-6.2123394,-5.3624153,22.18964213568732,492.3802181098701,86.1328125,92.04388786764706,570.2348230546772,325167.753424199,9517.67578125,9555.675551470587,0.00011601303,1.3459023e-08,1.6963004e-07,2.1952981e-05,209.62885111191312,43944.25521850064,1924.9489126492608,1944.4838618890285,0.32121646,0.10318002,0.18822089,0.34016025,0.06351958,0.004034737,0.19194224,0.19314177
Aslan,212.51318589658243,45161.854179915405,1769.6442521227357,1882.9262485534305,0.064595,0.0139729950055853,0.0001952445894261,0.0419921875,0.0413608743686868,1.5692118,2.4624257,0.09172578,169.31337,28667.018,16.341633,16.74453963510883,280.37960759173046,18.781960163477144,25.01036997351636,78.21129,6117.006,-6.2123394,-14.052857,0.0,0.0,0.0,0.0,917.4767004409044,841763.4958519292,9065.478515625,8875.95732717803,2.1931344e-05,4.8098386e-10,2.5479702e-07,1.6284346e-06,315.84634249891144,32512.706856267258,1921.39316720898,1944.4838618890285,0.30659682,0.094001606,0.3236819,0.39101234,0.039074868,0.0015268454,0.062092487,0.07226507
Aslan,272.92405696063145,74487.54086785001,1769.6442521227357,1882.9262485534305,0.1689909,0.0219428012166127,3.948075944667654e-05,0.0419921875,0.0413608743686868,3.9216585,15.379406,0.287259,169.31337,28667.018,16.341633,16.104830964824014,259.3655804055544,16.29765384223799,22.0115555211575,67.8332,4601.3433,-6.0303063,-10.328567,11.673612910919887,136.27323839399548,0.0,5.183919270833333,1365.2975582891293,1864037.4226702584,9065.478515625,8218.904622395834,0.00025060523,6.2802975e-08,1.033193e-07,3.8328508e-05,409.2649399900135,167497.79110502935,1921.39316720898,1944.4838618890285,0.32273188,0.10415586,0.16903377,0.3331265,0.08747663,0.0076521616,0.18776873,0.17828315
Aslan,545.0213576810139,297048.2803284557,2605.6061905952497,2740.9395355855195,0.06896927,0.0357961422566175,0.001281363800456,0.0869140625,0.0975870603491902,2.5203865,6.3523483,0.2828154,169.31337,28667.018,16.341633,18.835922921064487,354.7919922882825,15.001967997997616,21.496462298535118,64.24854,4127.8755,-6.2123394,-10.328567,71.26793335372777,5079.118324511383,64.599609375,74.88672665738866,407.2295234329504,165835.88475542786,9517.67578125,9511.573254048582,6.5247805e-05,4.2572763e-09,1.0315387e-06,9.680945e-06,253.20670059468893,64113.63322604844,2110.2944864169604,2144.1906611079867,0.28775936,0.082805455,0.39275578,0.45265633,0.08942279,0.007996436,0.07380688,0.09958389
Aslan,535.3980849130864,286651.1093286005,2142.8464761031328,2053.742614705644,0.03521233,0.0277286675623915,0.0007688790047856,0.0419921875,0.0413608743686868,1.0836601,1.1743194,0.09153848,195.20251,38104.02,16.964426,18.733086883894615,350.9285441995446,17.283703870263224,23.70230188738212,77.558426,6015.3096,-1.8773568,-9.014411,0.0,0.0,0.0,0.0,847.4354369662832,718146.8198262354,9582.275390625,9258.31241247789,6.4142896e-06,4.1143113e-11,5.6368174e-07,9.488024e-07,397.1118402618943,157697.81367618826,2184.042226463502,2101.9189197382634,0.29026332,0.084252805,0.4017774,0.45813936,0.031130739,0.00096912286,0.049424086,0.064589664
