species,hnr_std,hnr_var,hnr_median,hnr_mean,zcr_std,zcr_var,zcr_median,zcr_mean,pitch_freq_std,pitch_freq_var,pitch_freq_mean,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,0.044828553,0.002009599,-0.000112487935,-1.868435e-06,0.02237518291995555,0.0005008357646388,0.13037109375,0.1321695458074534,197.03743,38823.746,25.472435,16.857590195377576,284.1840517395191,16.20606087131513,22.842523827365312,65.66845,4312.35715,-3.4488922000000004,-13.437668,21.12646036503048,446.3273275552039,129.19921875,123.31436820652172,459.5965951603515,13739.68528439282,4635.02197265625,4533.56743491398,0.0001270031575,0.0028083285,3.8321315e-07,2.7110277e-05,154.3479569546268,23823.291816067325,961.5855199645603,987.402234197594,0.28857067,0.08327304,0.383477495,0.44545698,0.033339918,0.0011115501,0.06694928,0.0661999
Aslan,0.08756347,0.030839149,-0.0038867313,-0.00035112014,0.02237518291995555,6.834189280414985e-05,0.037109375,0.0385837928921568,92.58456,6667.081,7.940541,17.14029537580066,293.7897255696936,17.847771058525637,24.056256300950604,65.77723,4326.644,-0.68244654,-6.114508750000001,11.09482106784366,123.09505452746752,43.06640625,46.02194393382353,285.1174115273386,81291.93835604975,4758.837890625,4777.837775735294,0.00011601303,1.3459023e-08,1.6963004e-07,2.1952981e-05,156.13556410204126,10986.06380462516,962.4744563246304,972.2419309445144,0.32465202,0.10539894,0.19631177,0.35192442,0.06351958,0.004034737,0.19194224,0.122557155
Aslan,0.10347948,0.010708003,-0.0033418315,-0.0034610592,0.02237518291995555,0.0001553106623471,0.052001953125,0.050643257472826,156.83737,24597.963,20.418274,18.053242122068493,325.9195511180281,15.715332807584565,22.646804065645085,64.33696,4139.2446,-7.5913844,-6.114508750000001,30.33719692592844,920.3455173225618,75.3662109375,63.19527004076087,574.5876310029097,330150.945701536,4791.1376953125,4875.398055366848,0.0006108583,3.7314788e-07,3.81243e-07,0.00010574658,123.46835388227127,15244.434410397773,1041.9992562191158,1073.745646599021,0.28857067,0.08327304,0.383477495,0.44545698,0.061270658,0.0037540935,0.17474727,0.15658697
Aslan,0.03521233,0.0012399083,7.221879699999999e-05,7.0995375e-06,0.0277286675623915,0.0007688790047856,0.029541015625,0.0351458855395047,107.231415,11498.576,9.320352,17.939844924100274,321.8380359007664,17.280808383540204,24.132342691340018,78.4355,6152.128,-0.48708826,-5.978462,0.0,0.0,0.0,0.0,423.7177184831416,179536.70495655885,4791.1376953125,4629.156206238945,6.4142896e-06,4.1143113e-11,5.6368174e-07,9.488024e-07,198.5559201309472,39424.453419047066,1092.021113231751,1050.9594598691317,0.28857067,0.08327304,0.383477495,0.44545698,0.031130739,0.00096912286,0.049424086,0.064589664
Aslan,0.0630553,0.0039759707,-0.0002390705,-0.00013099912,0.0160216529481104,0.0002566933631896,0.070556640625,0.0699055989583333,215.11761,46275.59,33.15774,16.95804325197253,287.5752309357711,16.28817442456851,22.175661565870357,70.10534,4914.7583,-3.4488922000000004,-9.657912,31.35121937879365,982.8989565372468,86.1328125,88.88427734375,433.4550661461811,187883.29436779025,4635.02197265625,4533.56743491398,0.00010545642,1.1121056e-08,9.96047e-07,1.4578313e-05,156.13556410204126,9333.612404031326,909.2281407166936,917.0237902227386,0.28857067,0.08327304,0.383477495,0.44545698,0.11648208,0.013568075,0.038437106,0.10126458
Aslan,0.008660822,7.500984e-05,7.221879699999999e-05,7.0995375e-06,0.024760811509501,0.000613097786609,0.0440673828125,0.0441672348105453,92.58456,6986.6255,4.8281755,17.27014596770594,298.25794174586974,16.156325081577016,23.498289770542154,89.03381,7927.0205,0.54419684,-10.217637,0.0,0.0,0.0,0.0,386.77266802747744,149593.09673309326,4635.02197265625,4533.56743491398,2.706075e-06,7.322843e-12,3.8321315e-07,7.0611827e-07,188.69610162832947,35606.21876972885,960.69658360449,987.402234197594,0.28857067,0.08327304,0.383477495,0.44545698,0.037068464,0.0013740709,0.034549084,0.050729603
Aslan,0.16637206,0.027679661,0.00019310546,-0.00048373247,0.02237518291995555,0.0001191422563685,0.046142578125,0.0469735952524038,92.58456,7408.1533,8.538432,16.857590195377576,284.1840517395191,16.366600466605487,22.842523827365312,65.66845,4312.35715,-0.800112,-6.114508750000001,15.282480394522718,233.55420700897125,53.8330078125,52.17660757211539,459.5965951603515,30564.809945417488,4635.02197265625,4533.56743491398,0.0062259445,3.8762388e-05,0.010678003,0.0118140215,248.76777557576813,61885.40616491573,961.5855199645603,987.402234197594,0.28857067,0.08327304,0.383477495,0.44545698,0.10182714,0.010368766,0.16839331,0.122557155
Aslan,0.01814866,0.0003293739,7.221879699999999e-05,7.0995375e-06,0.0248620487209678,0.0006181214666037,0.0440673828125,0.0441672348105453,92.58456,5848.968,5.39156,16.93311862862614,286.7305064911256,16.637998833313382,23.76575020916905,65.66845,4312.35715,-0.20237055,-11.218879,0.0,0.0,0.0,0.0,548.0406009704367,300348.50031203736,4635.02197265625,4533.56743491398,1.5625556e-05,2.44158e-10,2.762576e-07,1.5093202e-06,151.29575909038107,22890.406718734623,961.5855199645603,987.402234197594,0.30436546,0.092638336,0.383477495,0.44545698,0.02926449,0.00085641036,0.033733796,0.047071062
Aslan,0.07470708,0.005581148,7.221879699999999e-05,7.0995375e-06,0.0179359933840606,0.000321699858673,0.0440673828125,0.0441672348105453,92.58456,2897.3662,8.5038665,15.78266445338044,249.0924972479985,18.63883856760449,25.357528077557525,85.22652,7263.5586,-2.3121595,-10.151422,0.0,0.0,0.0,0.0,522.6382622505026,273150.7531682252,4635.02197265625,4533.56743491398,3.3796205e-06,1.1421835e-11,1.6282162e-07,3.6839697e-07,156.13556410204126,11703.48207246069,961.5855199645603,987.402234197594,0.28857067,0.08327304,0.32432842,0.4080007,0.057310138,0.0032844518,0.04565946,0.077629946
Aslan,0.064595,0.0041725137,7.221879699999999e-05,7.0995375e-06,0.02237518291995555,0.0001952445894261,0.03125,0.0441672348105453,92.58456,3265.4792,8.5038665,16.418027064743143,269.5516126986384,18.70591987353308,25.55091979687336,81.74942,6682.9673,-2.594542,-7.9734135,0.0,0.0,0.0,0.0,458.7383502204522,210440.8739629823,4635.02197265625,4533.56743491398,2.1931344e-05,4.8098386e-10,2.5479702e-07,1.6284346e-06,156.13556410204126,8128.176714066814,961.5855199645603,987.402234197594,0.29937565,0.08962578,0.32916775,0.3949533,0.039074868,0.0015268454,0.062092487,0.07226507
Aslan,0.08756347,0.00768038365,7.221879699999999e-05,7.0995375e-06,0.02237518291995555,4.99378179489994e-05,0.0322265625,0.0337366174768518,92.58456,3485.2046,5.2570286,16.103754891847952,259.33092161671686,17.65804635475717,23.504572523786305,63.830025,4074.2722,0.21949449,-6.114508750000001,9.530769884979474,90.83557460043164,0.0,3.7882486979166665,530.3436117494181,281264.34652341745,4635.02197265625,4533.56743491398,0.00023725294,5.628896e-08,7.418612e-08,3.6394704e-05,200.77792860976663,40311.77661682856,961.5855199645603,987.402234197594,0.31765333,0.10090363,0.18394947,0.3346089,0.07916029999999999,0.016071744,0.09080094999999999,0.122557155
Aslan,0.054340217,0.0029528593,7.221879699999999e-05,7.0995375e-06,0.0298817884563469,0.0008929212813498,0.02978515625,0.0331449598354232,92.58456,5958.2744,6.4653435,16.782061762129008,281.6375969879126,18.12675443405433,25.35445505801631,81.84661,6698.8677,-3.4400818,-11.029953,0.0,0.0,0.0,0.0,460.4548401002508,212018.65977174748,4635.02197265625,4533.56743491398,1.5880065e-05,2.5217645e-10,2.8688044e-07,1.417682e-06,144.75152564095504,20953.00417538406,961.5855199645603,987.402234197594,0.31235418,0.09756513,0.27171934,0.3677946,0.05614506,0.003152268,0.04715301,0.07864728
Aslan,0.12236432,0.014973027,7.221879699999999e-05,7.0995375e-06,0.0212754386285545,0.0004526442888373,0.0400390625,0.0340249009365994,92.58456,5603.883,6.6585836,15.957653814822924,254.64671527373264,17.978921164922127,24.47893543709329,73.79166,5445.208,-3.4577026,-7.8061857,0.5771480280081065,0.3330998462336461,0.0,0.0310276702089337,501.44430560283394,251446.39162150832,4635.02197265625,4533.56743491398,5.9438144e-06,3.5328927e-11,1.9276143e-07,5.8335274e-07,128.52574653169572,16518.867521529693,961.5855199645603,987.402234197594,0.3161517,0.0999519,0.26558864,0.3648634,0.098349534,0.009672631,0.10855228,0.12646022
