species,contrast_s_std,contrast_s_var,contrast_s_median,contrast_s_mean,mel_s_std,mel_s_var,mel_s_median,mel_s_mean,rolloff_min_s_std,rolloff_min_s_var,rolloff_min_s_median,rolloff_min_s_mean,rolloff_max_s_std,rolloff_max_s_var,rolloff_max_s_median,rolloff_max_s_mean,flatness_s_std,flatness_s_var,flatness_s_median,flatness_s_mean,bandwidth_s_std,bandwidth_s_var,bandwidth_s_median,bandwidth_s_mean,chroma_stft_s_std,chroma_stft_s_var,chroma_stft_s_median,chroma_stft_s_mean,rms_s_std,rms_s_var,rms_s_median,rms_s_mean
Aslan,16.121523914000385,259.99144742808664,16.254145458929315,21.719947937181153,64.59957,4173.1738000000005,-0.800112,-5.194146,15.282480394522718,233.55420700897125,53.8330078125,52.17660757211539,174.82794383455263,30564.809945417488,4855.7373046875,4822.3291733685655,0.0062259445,3.8762388e-05,0.010678003,0.0118140215,248.76777557576813,61885.40616491573,1112.018691232299,1134.6590996259797,0.28308047000000003,0.0801369545,0.39333477,0.45471606,0.10182714,0.010368766,0.16839331,0.1944937
Aslan,17.528944330641533,307.2638893467299,15.4507207053117,21.15295018696341,62.18923,3867.5005,-3.561626,-5.194146,18.91595591317571,357.81338810920715,75.3662109375,71.52099609375,504.2814512427929,254299.7820675373,4441.22314453125,4394.56787109375,0.00013799501,1.9042622e-08,2.9579584e-07,3.5266887e-05,180.57914281489016,32608.8268197605,916.755608676897,929.0720784043998,0.28308047000000003,0.0801369545,0.3636967,0.44759172,0.08003373999999999,0.020706402,0.167712,0.1982883
Aslan,10.745446982278889,259.99144742808664,16.70997661029471,20.114119830531397,60.008926,3601.071,-3.83792235,-6.6267614,30.215774689907526,912.9930401112564,86.1328125,83.94711143092105,462.0424488131391,1058332.121689234,7568.9208984375,7599.601665296052,0.0022316454,4.9802416e-06,0.0010039418,0.0015266672,242.63378364564613,58871.15296620222,1224.110317401993,1284.7508207317603,0.28308047000000003,0.0801369545,0.33882445,0.4192744,0.06310413,0.003982131,0.10444444,0.114908665
Aslan,16.95804325197253,287.5752309357711,16.28817442456851,22.175661565870357,70.10534,4914.7583,-3.83792235,-9.657912,31.35121937879365,982.8989565372468,86.1328125,88.88427734375,433.4550661461811,187883.29436779025,4387.39013671875,4314.296875,0.00010545642,1.1121056e-08,9.96047e-07,1.4578313e-05,96.61062262521304,9333.612404031326,909.2281407166936,917.0237902227386,0.28308047000000003,0.0801369545,0.39333477,0.45471606,0.11648208,0.013568075,0.038437106,0.10126458
Aslan,16.121523914000385,259.99144742808664,16.3426035452687,21.719947937181153,54.32353,2951.046,-3.83792235,-4.64579,52.14503130700513,2719.104290008545,107.666015625,90.91796875,918.156509857033,843011.376592848,8462.548828125,4822.3291733685655,0.00501206,2.5120746e-05,0.0011020986,0.0030201252,169.25115703217296,28774.27741862271,1381.5604954671517,1592.3431576576747,0.28308047000000003,0.0801369545,0.35227665,0.42782956,0.10384888,0.010784591,0.21304442,0.20147343
Aslan,18.401291820046,338.6075406464919,15.780984956905783,22.19717673763392,64.86218,4207.103,-3.9804163,-6.2505555,35.633966676863885,1269.779581127846,32.2998046875,37.44336332869433,203.6147617164752,41458.971188856965,4758.837890625,4755.786627024291,6.5247805e-05,4.2572763e-09,1.0315387e-06,9.680945e-06,126.60335029734446,16028.40830651211,1055.1472432084802,1072.095330553993,0.28857067,0.08327304,0.38546884,0.44332224,0.08942279,0.007996436,0.07380688,0.09958389
Aslan,15.78266445338044,249.0924972479985,18.63883856760449,25.357528077557525,85.22652,7263.5586,-2.3121595,-10.151422,0.0,0.0,0.0,0.0,522.6382622505026,273150.7531682252,4855.7373046875,4822.3291733685655,3.3796205e-06,1.1421835e-11,1.6282162e-07,3.6839697e-07,108.182632952155,11703.48207246069,1112.018691232299,1134.6590996259797,0.3258881,0.10620305,0.32432842,0.4080007,0.057310138,0.0032844518,0.04565946,0.077629946
Aslan,18.260491083129335,333.4455345970461,16.254145458929315,21.72226556455082,65.46772,4286.0225,-3.6954284,-2.730682,39.89975873161765,1591.990746841299,10.7666015625,34.19979319852941,229.4034514873609,52625.94355431395,4920.3369140625,4822.170840992647,0.00016736708,2.8011739e-08,1.881291e-06,4.429391e-05,200.94977944761732,40380.81386004605,1223.983572267694,1195.5725526529382,0.28308047000000003,0.0801369545,0.39333477,0.45471606,0.08003373999999999,0.0064607968,0.085749954,0.1559014
Aslan,18.053242122068493,325.9195511180281,15.715332807584565,22.646804065645085,64.33696,4139.2446,-3.83792235,-4.070435,30.33719692592844,920.3455173225618,75.3662109375,63.19527004076087,574.5876310029097,330150.945701536,4791.1376953125,4875.398055366848,0.0006108583,3.7314788e-07,3.81243e-07,0.00010574658,123.46835388227127,15244.434410397773,1041.9992562191158,1073.745646599021,0.28308047000000003,0.0801369545,0.39333477,0.45471606,0.061270658,0.0037540935,0.17474727,0.15658697
Aslan,17.15575665054684,294.31998625278214,18.334760101265523,25.192767513931077,73.73802,5437.296,-4.1463566,-8.808121,0.0,0.0,0.0,0.0,457.0902856051926,208931.52919463656,4532.7392578125,4437.978663589015,2.0998217e-05,4.4092516e-10,2.7778478e-07,1.6964009e-06,157.92317124945572,24939.72801748492,954.570439312499,926.8224624671255,0.3174558,0.10077818,0.25778237,0.35951617,0.06258468,0.0039168424,0.13105991,0.11865409
